image_id,crop,class,glcm_contrast,glcm_homogeneity,entropy,hue_mean,saturation_mean,value_mean,edge_density,vegetation_index,texture_energy,shape_factor,moisture_proxy,label
SIM_00001,Crop09,Class05,27.9459,0.4536,5.6966,73.3045,123.8171,99.5158,0.0528,-0.4746,0.3743,0.6213,0.6039,Class05
SIM_00002,Crop04,Class03,36.9187,0.5879,6.8335,99.3171,144.0984,105.1244,0.0331,-0.1023,0.2906,0.8385,0.4043,Class03
SIM_00003,Crop09,Class03,34.6503,0.5037,6.9848,37.3675,143.8527,93.9093,0.0614,0.033,0.3806,0.7331,0.1737,Class03
SIM_00004,Crop04,Class12,20.5165,0.2654,5.259,69.7183,122.5027,132.7835,0.031,-0.1844,0.2078,0.49,0.5969,Class12
SIM_00005,Crop10,Class02,33.6598,0.418,6.4882,70.8798,91.8847,118.2063,0.035,0.1525,0.2506,0.7156,0.3337,Class02
SIM_00006,Crop06,Class08,26.3908,0.4688,6.9577,134.7561,117.5282,213.2637,0.0298,-0.3621,0.1666,0.4935,0.3432,Class08
SIM_00007,Crop08,Class07,28.4853,0.4442,5.0264,131.1687,106.0388,184.4424,0.0982,0.0029,0.2396,0.4299,0.4976,Class07
SIM_00008,Crop09,Class01,25.0836,0.3389,6.9411,114.5731,90.9304,167.6901,0.109,0.2116,0.2191,0.4601,0.3593,Class01
SIM_00009,Crop08,Class13,14.7277,0.3516,5.9965,73.7029,190.584,161.5186,0.098,-0.3801,0.325,0.6272,0.7448,Class13
SIM_00010,Crop09,Class15,9.1337,0.4906,5.4152,140.7481,161.1612,177.1627,0.0534,0.1073,0.3363,0.264,0.491,Class15
SIM_00011,Crop06,Class10,33.1871,0.5891,6.5061,84.0541,178.5988,210.2311,0.11,0.113,0.2324,0.3191,0.7462,Class10
SIM_00012,Crop01,Class11,15.3201,0.3992,5.1173,96.3224,147.5513,168.0489,0.119,-0.0272,0.2838,0.5478,0.5386,Class11
SIM_00013,Crop05,Class04,15.6087,0.4989,5.4763,42.4246,164.5772,157.1107,0.0994,-0.0113,0.2743,0.7804,0.4788,Class04
SIM_00014,Crop02,Class13,21.1751,0.5196,6.2658,96.5554,209.753,179.5633,0.1112,-0.3513,0.2732,0.6312,0.6927,Class13
